 redshift sorgente =   1.0000000E-03 fact PopIII=  0.0000000E+00
  0.1517156      1.5171556E+11  1.3868015E-03   1.001388    
  0.1824022      1.8240222E+11  2.2459638E-03   1.002249    
  0.2192957      2.1929571E+11  3.5153965E-03   1.003522    
  0.2636514      2.6365143E+11  5.3351023E-03   1.005349    
  0.3169787      3.1697872E+11  7.8207394E-03   1.007851    
  0.3810923      3.8109227E+11  1.1048923E-02   1.011110    
  0.4581737      4.5817368E+11  1.5025788E-02   1.015139    
  0.5508459      5.5084594E+11  1.9638093E-02   1.019832    
  0.6622624      6.6226245E+11  2.4706183E-02   1.025014    
  0.7962146      7.9621456E+11  3.0066980E-02   1.030524    
  0.9572604      9.5726043E+11  3.5432830E-02   1.036068    
   1.150880      1.1508802E+12  4.0523082E-02   1.041355    
   1.383662      1.3836624E+12  4.5215927E-02   1.046254    
   1.663528      1.6635279E+12  4.9342934E-02   1.050581    
   2.000000      2.0000005E+12  5.2908465E-02   1.054333    
   2.404530      2.4045295E+12  5.6090616E-02   1.057693    
   2.890880      2.8908803E+12  5.9131209E-02   1.060914    
   3.475603      3.4756027E+12  6.2809415E-02   1.064824    
   4.178594      4.1785934E+12  6.7979738E-02   1.070344    
   5.023774      5.0237743E+12  7.5363673E-02   1.078276    
   6.039905      6.0399047E+12  8.5923649E-02   1.089723    
   7.261563      7.2615629E+12  9.9808834E-02   1.104960    
   8.730319      8.7303190E+12  0.1198552       1.127334    
   10.49615      1.0496151E+13  0.1483240       1.159889    
   12.61915      1.2619150E+13  0.1905634       1.209931    
   15.17155      1.5171555E+13  0.2563555       1.292212    
   18.24022      1.8240221E+13  0.3564238       1.428213    
   21.92957      2.1929568E+13  0.5142737       1.672423    
   26.36514      2.6365141E+13  0.7598172       2.137885    
   31.69787      3.1697872E+13   1.132232       3.102574    
   38.10922      3.8109224E+13   1.671151       5.318284    
   45.81736      4.5817361E+13   2.401018       11.03441    
   55.08458      5.5084583E+13   3.301003       27.13985    
   66.22623      6.6226236E+13   4.324223       75.50682    
   79.62144      7.9621446E+13   5.395992       220.5209    
   95.72604      9.5726038E+13   6.426946       618.2829    
   115.0880      1.1508801E+14   7.324205       1516.568    
   138.3662      1.3836622E+14   8.048979       3130.596    
   166.3528      1.6635279E+14   8.537915       5104.691    
 redshift sorgente =   5.0000004E-03 fact PopIII=  0.0000000E+00
   E0 [TeV],    E0 [eV],       tau(E0)        e^tau
  2.0000009E-02  2.0000008E+10  1.4749597E-19   1.000000    
  2.4045298E-02  2.4045298E+10  1.4749597E-19   1.000000    
  2.8908806E-02  2.8908806E+10  1.4749597E-19   1.000000    
  3.4756031E-02  3.4756030E+10  1.4749597E-19   1.000000    
  4.1785937E-02  4.1785938E+10  1.5317523E-08   1.000000    
  5.0237749E-02  5.0237747E+10  9.0573403E-06   1.000009    
  6.0399055E-02  6.0399055E+10  5.2653693E-05   1.000053    
  7.2615631E-02  7.2615633E+10  1.5008994E-04   1.000150    
  8.7303191E-02  8.7303193E+10  3.2090486E-04   1.000321    
  0.1049615      1.0496152E+11  5.9521321E-04   1.000595    
  0.1261915      1.2619151E+11  1.0357164E-03   1.001036    
  0.1517156      1.5171556E+11  1.7386798E-03   1.001740    
  0.1824022      1.8240222E+11  2.8149770E-03   1.002819    
  0.2192957      2.1929571E+11  4.4050673E-03   1.004415    
  0.2636514      2.6365143E+11  6.6838572E-03   1.006706    
  0.3169787      3.1697872E+11  9.7960765E-03   1.009844    
  0.3810923      3.8109227E+11  1.3837529E-02   1.013934    
  0.4581737      4.5817368E+11  1.8814951E-02   1.018993    
  0.5508459      5.5084594E+11  2.4586232E-02   1.024891    
  0.6622624      6.6226245E+11  3.0926542E-02   1.031410    
  0.7962146      7.9621456E+11  3.7632536E-02   1.038350    
  0.9572604      9.5726043E+11  4.4342071E-02   1.045340    
   1.150880      1.1508802E+12  5.0707489E-02   1.052015    
   1.383662      1.3836624E+12  5.6574222E-02   1.058205    
   1.663528      1.6635279E+12  6.1733875E-02   1.063679    
   2.000000      2.0000005E+12  6.6192046E-02   1.068432    
   2.404530      2.4045295E+12  7.0171893E-02   1.072693    
   2.890880      2.8908803E+12  7.3978633E-02   1.076784    
   3.475603      3.4756027E+12  7.8588232E-02   1.081759    
   4.178594      4.1785934E+12  8.5062936E-02   1.088786    
   5.023774      5.0237743E+12  9.4309717E-02   1.098900    
   6.039905      6.0399047E+12  0.1075285       1.113523    
   7.261563      7.2615629E+12  0.1249076       1.133044    
   8.730319      8.7303190E+12  0.1499922       1.161825    
   10.49615      1.0496151E+13  0.1856109       1.203954    
   12.61915      1.2619150E+13  0.2384701       1.269306    
   15.17155      1.5171555E+13  0.3208356       1.378279    
   18.24022      1.8240221E+13  0.4461440       1.562276    
   21.92957      2.1929568E+13  0.6437886       1.903680    
   26.36514      2.6365141E+13  0.9512699       2.588995    
   31.69787      3.1697872E+13   1.417425       4.126482    
   38.10922      3.8109224E+13   2.091712       8.098772    
   45.81736      4.5817361E+13   3.004281       20.17170    
   55.08458      5.5084583E+13   4.129011       62.11647    
   66.22623      6.6226236E+13   5.406863       222.9312    
   79.62144      7.9621446E+13   6.744761       849.5961    
   95.72604      9.5726038E+13   8.031629       3076.749    
   115.0880      1.1508801E+14   9.150144       9415.793    
   138.3662      1.3836622E+14   10.05216       23205.84    
   166.3528      1.6635279E+14   10.66080       42650.54    
 redshift sorgente =   6.0000001E-03 fact PopIII=  0.0000000E+00
   E0 [TeV],    E0 [eV],       tau(E0)        e^tau
  2.0000009E-02  2.0000008E+10  1.7686866E-19   1.000000    
  2.4045298E-02  2.4045298E+10  1.7686866E-19   1.000000    
  2.8908806E-02  2.8908806E+10  1.7686866E-19   1.000000    
  3.4756031E-02  3.4756030E+10  1.7686866E-19   1.000000    
